gc,length,Masso_5FC.consensus_round2.Illumina.sort_cov,bestsumorder_phylum,bestsumorder_class,bestsumorder_order,bestsumorder_family,bestsumorder_genus,bestsumorder_species,id,masked_pct
0.4155,184905,15.0343,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,ctg6265,90.82
0.4411,173672,13.996,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,ctg5240,92.93
0.4107,163490,12.8616,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,ctg2501,88.42
0.398,158204,11.7254,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia massiliae,ctg1343,85.17
0.4073,158014,10.2085,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus pinatubonensis,ctg6409,92.21
0.4421,157527,9.3597,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg4902,58.51
0.598,157189,324.1359,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,ctg1017,1.13
0.6094,157155,281.7868,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split7_ctg350,0.42
0.4416,145444,14.69,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,ctg2734,94.56
0.5962,144514,330.3211,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split17_split0_ctg9,1.68
0.3965,143872,10.1526,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg1369,92.91
0.425,140492,13.8563,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum,ctg4852,94.70
0.4089,139578,11.7319,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg2428,88.43
0.4261,138488,14.7067,Proteobacteria,Thermodesulfovibrionia,Thermodesulfovibrionales,Thermodesulfovibrionaceae,Thermodesulfovibrio,Thermodesulfovibrio yellowstonii,ctg7078,94.58
0.4027,131482,10.9144,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,ctg5264,85.32
0.5081,130082,12.764,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg3640,0.67
0.6265,129906,152.5766,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split1_ctg800,0.38
0.6072,127985,317.5532,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split9_ctg2751,0.96
0.3977,124437,12.1478,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg4343,86.02
0.3846,122480,9.7844,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter polyoxogenes,ctg4362,87.61
0.4119,120386,11.2724,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis,ctg3923,94.22
0.4233,119361,13.3479,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg2173,95.28
0.6073,118730,33.601,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Escherichia coli,ctg5410,0.22
0.6098,117604,352.4757,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Sinorhizobium,Sinorhizobium meliloti,split6_ctg6840,0.91
0.5911,116700,116.9232,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split8_ctg2607,3.02
0.6023,115207,255.8921,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split5_ctg350,0.32
0.4127,108306,15.6005,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,Parvibaculum lavamentivorans,ctg5582,87.94
0.6104,108078,123.6763,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split2_ctg4929,0.30
0.627,102161,204.9963,Proteobacteria,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus parabrevis,ctg2826,0.58
0.6257,99593,405.8677,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yersinia,Yersinia pestis,split18_split0_ctg9,0.96
0.456,98909,11.5249,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg3325,67.40
0.5917,98440,240.9623,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Haemophilus influenzae,split41_split0_ctg9,0.82
0.61,97711,456.105,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split22_split0_ctg9,1.83
0.3993,96624,12.7936,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii,ctg7547,94.65
0.4239,96366,11.5998,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ctg7133,97.11
0.4096,95357,9.9484,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis alaskensis,ctg3416,86.00
0.6204,92401,402.0144,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split2_split0_ctg9,2.42
0.572,91370,67.2364,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg3559,0.14
0.6151,89797,387.2598,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split4_split0_ctg9,1.14
0.4177,89584,12.5247,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,Parvibaculum lavamentivorans,ctg5345,94.67
0.4178,89479,15.457,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio japonicus,ctg3754,93.67
0.4374,89047,11.5291,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,ctg7853,84.99
0.5489,87502,23.3429,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudomonas,Xylella fastidiosa,ctg4020,0.00
0.5842,85263,44.4995,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudomonas,Pseudomonas phage PAJU2,split2_split2_ctg7917,0.05
0.6189,85162,113.6072,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg4141,0.11
0.554,85019,6.7442,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split12_ctg3587,0.00
0.546,84328,8.8702,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9618,0.31
0.4296,82764,13.6635,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Trichlorobacter,Trichlorobacter lovleyi,ctg8161,91.09
0.6229,81650,125.9895,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg5994,0.34
0.562,80750,11.4286,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9431,0.34
0.4445,80554,21.7377,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria sp. TM1040,ctg6344,95.69
0.6012,78489,305.0874,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,split1_ctg3948,0.34
0.6333,77515,57.3967,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudomonas,Salmonella enterica,ctg4759,0.35
0.5271,76907,23.5475,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split2_ctg7147,0.16
0.6111,76405,491.5228,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split9_split0_ctg9,1.88
0.5782,75478,108.7918,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia virus Lambda,ctg9070,0.05
0.5608,75103,6.4032,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split0_ctg3587,0.24
0.4081,73583,14.8611,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,ctg5106,94.63
0.5856,73481,66.7085,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split8_ctg2751,0.00
0.4122,71474,10.8588,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,ctg7255,93.20
0.5811,71286,246.24,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg7543,0.74
0.4614,70190,15.3173,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg9843,81.69
0.6283,69892,143.3719,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg5584,0.28
0.5587,68371,5.1111,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg14396,0.28
0.6171,68279,201.0237,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg5733,0.51
0.6333,67558,67.2196,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg5811,0.37
0.6091,67304,279.2006,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg5415,0.64
0.5924,67300,51.382,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Shewanella oneidensis,ctg5802,0.71
0.6183,65697,383.506,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split2_ctg10798,1.45
0.618,65302,392.0474,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split42_split0_ctg9,1.79
0.6037,65299,29.6161,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg5075,0.17
0.6046,64628,357.5391,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split13_split0_ctg9,0.57
0.3979,64335,11.0875,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter winogradskyi,ctg6171,86.57
0.6083,64161,200.3335,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg12031,0.18
0.621,63588,242.5653,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg12725,0.54
0.6251,63553,148.055,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg5903,0.29
0.5921,63329,41.253,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg6306,0.14
0.5454,62838,11.2474,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split1_ctg6140,0.40
0.4102,62320,11.3676,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,ctg6431,83.41
0.6124,62088,359.5065,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split3_ctg2751,1.58
0.6404,61555,72.5033,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg8523,0.23
0.5411,61444,4.5892,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg12756,0.11
0.5887,61074,14.2552,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Erwinia,Erwinia tasmaniensis,ctg8397,0.42
0.3905,60967,10.1335,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter koseri,ctg10306,75.75
0.6145,59113,360.8841,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ruegeria pomeroyi,split32_split0_ctg9,0.53
0.6193,59001,156.9025,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg6718,0.15
0.3784,58506,9.1009,Proteobacteria,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus sp. RS-1,ctg7761,86.75
0.5427,58264,27.5292,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split61_split0_ctg2,0.29
0.6378,57045,97.9718,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg7410,0.48
0.5975,57030,63.9981,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg6860,0.65
0.4916,56873,9.2241,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg7016,0.09
0.3895,56530,12.3449,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.,ctg7173,90.34
0.5838,56520,35.6432,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,ctg7101,0.08
0.5554,56458,4.4746,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split1_ctg6805,0.14
0.6232,55985,356.3603,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,split2_ctg6018,1.20
0.4092,55199,16.2104,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Granulibacter,Granulibacter bethesdensis,ctg10513,89.86
0.5893,55105,267.6853,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split1_ctg2751,0.64
0.6323,55061,40.7655,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg7350,0.34
0.6109,54363,498.0322,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split19_split0_ctg9,1.30
0.6168,53489,483.8598,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split26_split0_ctg9,0.87
0.5697,53365,5.6527,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg10432,0.00
0.6024,53159,273.9081,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg7662,0.98
0.576,52519,154.2742,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3,split45_split0_ctg9,1.29
0.4297,52074,10.9481,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum,ctg7748,89.25
0.5604,51851,16.7888,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split2_split26_ctg12431,0.43
0.5984,51555,265.009,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3,split1_ctg9432,1.72
0.58,51519,199.7651,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split1_ctg9586,0.21
0.5617,51145,207.4219,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg7857,0.16
0.6119,50356,384.5193,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split44_split0_ctg9,0.70
0.6008,50353,273.5472,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,ctg8063,0.66
0.6095,49721,275.0863,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudomonas,Arabidopsis thaliana,ctg12906,2.33
0.4085,49623,12.0471,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg7950,87.38
0.5035,49352,7.8892,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg14483,0.24
0.5997,47999,39.5937,Proteobacteria,Gammaproteobacteria,Caudovirales,Myoviridae,Pseudomonas,Pseudomonas aeruginosa,split1_split0_ctg7416,0.87
0.5242,47934,7.1643,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora,ctg10745,0.22
0.5769,47889,15.0726,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg13446,0.36
0.5754,47736,36.2062,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia tasmaniensis,ctg9811,0.43
0.5663,47694,16.4676,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg10489,0.08
0.6317,47669,184.4717,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg8159,0.52
0.6307,47397,145.5942,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bordetella bronchiseptica,ctg8217,0.18
0.5745,47250,187.1552,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split1_split2_ctg7917,0.22
0.5547,46779,15.2604,Proteobacteria,Gammaproteobacteria,Enterobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,ctg8452,0.08
0.5926,46510,95.5363,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split3_split0_ctg4929,3.51
0.3957,45826,10.806,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum,Parvibaculum lavamentivorans,ctg11223,88.55
0.6177,45468,130.1665,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg11234,0.29
0.5484,45350,8.4963,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg8740,0.28
0.583,45312,13.8565,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9780,0.30
0.5497,44589,3.2304,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split0_ctg10519,0.08
0.6183,44237,350.7793,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split1_ctg350,2.43
0.5749,44063,13.8015,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg11118,0.00
0.6306,43945,154.1099,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg13388,0.32
0.6329,43728,94.6715,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,ctg8894,0.49
0.6199,43441,336.9,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split2_ctg7281,3.08
0.6214,43371,132.6956,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg8933,0.55
0.6187,43226,347.9116,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,split1_split0_ctg9,2.08
0.5547,43011,6.8197,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,ctg15081,0.09
0.6256,42835,63.41,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Alkalilimnicola ehrlichii,ctg14526,0.82
0.6106,42741,419.2805,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split3_split0_ctg9,0.98
0.5512,42410,23.8948,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split4_ctg12591,0.17
0.3776,42395,8.2787,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas aromatica,ctg12696,85.97
0.6189,42215,308.0374,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg8846,0.58
0.4089,41931,10.2444,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,ctg9281,89.84
0.6355,41900,148.3508,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg9136,0.31
0.614,41893,153.5914,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas protegens,split1_ctg3914,0.55
0.6116,41783,444.7638,Proteobacteria,Gammaproteobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. P-1,split31_split0_ctg9,1.78
0.603,41707,277.4208,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Escherichia coli,split5_ctg2751,1.53
0.4303,41648,13.77,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg13935,94.01
0.5672,41620,5.3547,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ctg12701,0.43
0.5712,41367,161.8827,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,ctg9138,0.12
0.606,41042,330.1988,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,ctg10596,1.44
0.5408,40745,6.5677,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,ctg9424,0.53
0.5779,40662,39.4551,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split25_split0_ctg2,0.26
0.5987,40575,66.2277,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9405,0.17
0.5984,40237,216.6042,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,split2_ctg9,0.42
0.5503,40011,12.896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg12087,0.34
0.5851,39971,10.1234,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9536,0.38
0.5874,39918,14.5304,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,split1_ctg10863,0.23
0.6013,39789,182.2236,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,ctg9591,0.38
